@HD	VN:1.6
@SQ	SN:OV839361.1	LN:55805604
@SQ	SN:OV839362.1	LN:55413727
@SQ	SN:OV839363.1	LN:49239837
@SQ	SN:OV839364.1	LN:48363854
@SQ	SN:OV839365.1	LN:47463143
@SQ	SN:OV839366.1	LN:45224516
@SQ	SN:OV839367.1	LN:44895232
@SQ	SN:OV839368.1	LN:44730017
@SQ	SN:OV839369.1	LN:44706199
@SQ	SN:OV839370.1	LN:41278614
@SQ	SN:OV839372.1	LN:37569235
@SQ	SN:OV839373.1	LN:37312042
@SQ	SN:OV839374.1	LN:35025567
@SQ	SN:OV839375.1	LN:34431249
@SQ	SN:OV839376.1	LN:31970334
@SQ	SN:OV839377.1	LN:31417546
@SQ	SN:OV839378.1	LN:31036983
@SQ	SN:OV839379.1	LN:29659553
@SQ	SN:OV839380.1	LN:28745018
@SQ	SN:OV839381.1	LN:28026665
@SQ	SN:OV839382.1	LN:27960081
@SQ	SN:OV839383.1	LN:27196166
@SQ	SN:OV839384.1	LN:25482632
@SQ	SN:OV839385.1	LN:25380689
@SQ	SN:OV839386.1	LN:23930680
@SQ	SN:OV839387.1	LN:23474178
@SQ	SN:OV839388.1	LN:22464520
@SQ	SN:OV839389.1	LN:21930428
@SQ	SN:OV839390.1	LN:21757624
@SQ	SN:OV839391.1	LN:21432086
@SQ	SN:OV839392.1	LN:21271502
@SQ	SN:OV839393.1	LN:21169547
@SQ	SN:OV839394.1	LN:21076603
@SQ	SN:OV839395.1	LN:17587634
@SQ	SN:OV839396.1	LN:10404007
@SQ	SN:OV839397.1	LN:2110544
@SQ	SN:OV839398.1	LN:653593
@SQ	SN:OV839399.1	LN:428882
@SQ	SN:OV839371.1	LN:39876367
@SQ	SN:OV839360.1	LN:89764762
@SQ	SN:CAKNBG010000001.1	LN:514000
@SQ	SN:CAKNBG010000002.1	LN:386000
@SQ	SN:CAKNBG010000003.1	LN:64071
@SQ	SN:CAKNBG010000004.1	LN:2612000
@SQ	SN:CAKNBG010000005.1	LN:4236000
@SQ	SN:CAKNBG010000006.1	LN:622000
@SQ	SN:CAKNBG010000007.1	LN:789000
@SQ	SN:CAKNBG010000008.1	LN:47434
@SQ	SN:CAKNBG010000009.1	LN:31765
@SQ	SN:CAKNBG010000010.1	LN:642273
@SQ	SN:CAKNBG010000011.1	LN:112000
@SQ	SN:CAKNBG010000012.1	LN:666000
@SQ	SN:CAKNBG010000013.1	LN:85352
@SQ	SN:CAKNBG010000014.1	LN:67000
@SQ	SN:CAKNBG010000015.1	LN:1068000
@SQ	SN:CAKNBG010000016.1	LN:291481
@SQ	SN:CAKNBG010000017.1	LN:22651
@SQ	SN:CAKNBG010000018.1	LN:28795
@SQ	SN:CAKNBG010000019.1	LN:92770
@SQ	SN:CAKNBG010000020.1	LN:287000
@SQ	SN:CAKNBG010000021.1	LN:89256
@SQ	SN:CAKNBG010000022.1	LN:83711
@SQ	SN:CAKNBG010000023.1	LN:1041124
@SQ	SN:CAKNBG010000024.1	LN:157292
@SQ	SN:CAKNBG010000025.1	LN:77000
@SQ	SN:CAKNBG010000026.1	LN:49532
@SQ	SN:CAKNBG010000027.1	LN:52734
@SQ	SN:CAKNBG010000028.1	LN:49457
@SQ	SN:CAKNBG010000029.1	LN:48366
@SQ	SN:CAKNBG010000030.1	LN:103347
@SQ	SN:CAKNBG010000031.1	LN:38670
@SQ	SN:CAKNBG010000032.1	LN:21498
@SQ	SN:CAKNBG010000033.1	LN:52500
@SQ	SN:CAKNBG010000034.1	LN:33430
@SQ	SN:CAKNBG010000035.1	LN:39133
@SQ	SN:CAKNBG010000036.1	LN:23176
@SQ	SN:CAKNBG010000037.1	LN:94818
@SQ	SN:CAKNBG010000038.1	LN:64874
@SQ	SN:CAKNBG010000039.1	LN:1013046
@SQ	SN:CAKNBG010000040.1	LN:14263
@SQ	SN:CAKNBG010000041.1	LN:45974
@SQ	SN:CAKNBG010000042.1	LN:95227
@SQ	SN:CAKNBG010000043.1	LN:465658
@SQ	SN:CAKNBG010000044.1	LN:10128
@SQ	SN:CAKNBG010000045.1	LN:28768
@SQ	SN:CAKNBG010000046.1	LN:1838000
@SQ	SN:CAKNBG010000047.1	LN:13807
